id	MS2 name	MS2 score	level	MS1 name	MS1 ppm	rt	mz	type	X_1	X_12	X_13	X_14	X_16	X_17	X_19	X_22	X_25	X_27	X_4	X_5	X_6	X_7	X_9	X_10	X_11	X_15	X_18	X_2	X_20	X_21	X_23	X_24	X_26	X_28	X_29	X_3	X_30	X_31	X_8	QC01	QC02	QC03	QC04	QC05
87	"Carbamazepine-10,11-epoxide"	0.949427615	B(ii)			61.05035	253.0968254	POS	0.004053597	0.005320024	0.00492048	0.0001523	0.020527973	0.014552766	0.012531381	0.036105617	0.005093974	0.014167452	0.004113664	0.020941731	0.015219781	0.014915858	0.000123086	0.013328867	0.000140732	0.000144438	21.62692536	0.007381379	0.013978608	0.000145896	0.004333939	0.004635098	0.00446089	0.005860528	0.005778976	0.000150518	0.011984746	0.00644319	0.000145067	1.007505541	1.055440212	0.860353751	0.800512897	0.934234038
105	8-Hydroxycarteolol	0.921398538	B(ii)			209.6555	309.1809064	POS	0.007035033	0.000143738	0.006582593	0.0001523	0.000152054	0.010923296	0.000146677	0.002771005	4.987786298	0.003190577	0.002771435	0.016620389	0.000148258	0.01313394	0.000123086	0.002681373	0.000140732	0.005291285	0.000159935	0.005107164	0.003524795	0.000145896	0.000130321	0.001449394	0.000137377	0.000159391	0.000151962	0.010694889	0.002392111	0.000126273	0.000145067	0.093004458	0.072372773	0.076595985	0.075769973	0.083344166
228	Bilirubin	0.813982385	B(ii)			55.78465	585.2706147	POS	1.690803118	0.165319469	0.671034096	0.091139815	0.606310511	1.070888535	0.237415792	2.20531875	0.081883531	0.411863323	0.105463901	0.129774827	0.209249464	1.151952303	0.246495244	10.06964325	0.446327567	0.333808368	0.372635563	0.3204678	0.144104128	0.019099523	0.562106662	1.32556524	0.517639547	3.907573585	2.352234134	2.203499766	0.194793704	0.271184572	0.000145067	1.019300276	0.991208963	0.897396383	0.746112763	0.882856189
380	"10,11-Dihydroxycarbamazepine"	0.68974	B(iii)			60.68185	271.1071251	POS	0.00014565	0.000143738	0.000151244	0.0001523	0.012141044	0.012883312	0.007461487	0.002951913	0.012403704	0.010685718	0.00014759	0.004739007	0.000148258	0.003340872	0.000123086	0.000149982	0.000140732	0.00721064	7.279717499	0.004240633	0.015387362	0.000145896	0.000130321	0.00013446	0.000137377	0.010283754	0.000151962	0.004009014	0.000144548	0.005296386	0.000145067	0.318875531	0.35801432	0.264040021	0.253640083	0.290024633
409	"(1R*,2R*,4R*,8S*)-p-Menthane-1,2,8,9-tetrol 9-glucoside"	0.667258	B(iii)			62.8715	367.1960041	POS	0.007698032	0.19271253	0.21523683	0.234408314	0.348236491	0.339741316	0.269716341	0.200157292	0.000155058	0.002776492	0.00014759	0.003987423	0.000148258	0.240730209	0.167485271	0.002939803	0.177388753	0.368260915	0.000159935	0.000134222	0.361748845	0.182218579	0.000130321	0.008813507	0.000137377	0.000159391	0.000151962	0.004035849	0.000144548	0.000126273	0.000145067	0.073965785	0.06110077	0.071118658	0.05359132	0.063188927
478	Prostaglandin F1a	0.60864	B(iii)			149.097	379.2482773	POS	0.007518601	2.035511243	2.250129748	3.459336555	2.873160081	3.625326881	3.560453201	1.726588194	0.000155058	0.000139147	0.00014759	0.000160344	0.000148258	2.820323615	2.402042439	0.000149982	2.527651974	3.338056292	0.000159935	0.000134222	4.514457292	3.209414689	0.041256358	0.003802768	0.009995455	0.000159391	0.000151962	0.006122022	0.000144548	0.002884807	0.000145067	1.089800128	0.989701186	1.095582638	1.044781067	1.318883733
557	Octadecylamine	0.535258	B(iii)			153.8105	270.3151532	POS	0.100404593	0.091169072	0.020905025	0.201882485	0.203360147	0.197983369	0.066191156	0.109864748	0.000155058	0.000139147	0.113767455	0.192763426	0.23339328	0.149356539	0.156966294	0.107149351	0.068493117	0.06030426	0.210867485	0.201836432	0.093359485	0.163700469	0.000130321	0.00013446	0.000137377	0.000159391	0.000151962	0.175133824	0.000144548	0.000126273	0.000145067	0.076068429	0.04909836	0.061628651	0.085936373	0.043754938
649	Artomunoxanthentrione	0.45643	B(iii)			28.9182	445.1201466	POS	0.00014565	0.013985887	0.000151244	0.0920616	0.000566476	0.137045837	0.000146677	0.083256561	0.00605167	0.005003276	0.00014759	0.103083083	0.000148258	0.08824867	0.004270572	0.000540325	0.000140732	0.147538362	0.000159935	0.002455499	0.174743912	0.007337881	0.000684328	0.088970327	0.079458563	0.001360777	0.000151962	0.183599143	0.000678551	0.000126273	0.000145067	2.841526502	3.033979568	3.220152073	3.287567886	3.416127185
655	"Methyl 3-(2,3-dihydroxy-3-methylbutyl)-4-hydroxybenzoate"	0.45368	B(iii)			181.176	255.1158059	POS	0.01039287	0.009862642	0.004395678	0.0001523	0.003066766	0.029989612	0.011473124	0.05819722	24.23249243	0.010235966	0.004448104	0.015763469	0.005723743	0.015833353	0.001204715	0.013524847	0.009873628	0.024717681	0.004001005	0.00951803	0.013810894	0.005429189	0.002235861	0.00580888	0.005070138	0.003677453	0.003586947	0.020318542	0.005650841	0.001278972	0.000145067	0.614989774	0.62807636	0.625187013	0.645886952	0.63890673
750	Ceftiofur	0.365965	B(iii)			240.573	513.6537812	POS	0.00014565	0.324952779	0.354342493	0.599289738	0.359664679	0.666407626	0.394805422	0.218969785	0.000155058	0.000139147	0.00014759	0.000160344	0.000148258	0.454436059	0.323881745	0.000149982	0.298357985	0.660883288	0.000159935	0.000134222	0.7354814	0.429782721	0.010780245	0.00013446	0.002264468	0.000159391	0.001691196	0.000150518	0.000144548	0.000126273	0.000145067	0.129974883	0.145917442	0.143514394	0.167674485	0.154189579
