Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
X_1	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_2	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_3	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_4	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_5	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_6	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_7	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_8	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_9	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_10	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_11	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_12	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_13	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
X_14	Extraction	methanol			Chromatography	Thermo Fisher Scientific Orbitrap Exploris 120				Waters ACQUITY UPLC BEH Amide							Mass spectrometry	Postive	70-1050	OE120			ESI								Data transformation			Metabolite identification		m_MTBLS10792_LC-MS___metabolite_profiling_v2_maf.tsv
