Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
X_1.raw	Homo sapiens			Serum									Sample collection	X_1
X_2.raw	Homo sapiens			Serum									Sample collection	X_2
X_3.raw	Homo sapiens			Serum									Sample collection	X_3
X_4.raw	Homo sapiens			Serum									Sample collection	X_4
X_5.raw	Homo sapiens			Serum									Sample collection	X_5
X_6.raw	Homo sapiens			Serum									Sample collection	X_6
X_7.raw	Homo sapiens			Serum									Sample collection	X_7
X_8.raw	Homo sapiens			Serum									Sample collection	X_8
X_9.raw	Homo sapiens			Serum									Sample collection	X_9
X_10.raw	Homo sapiens			Serum									Sample collection	X_10
X_11.raw	Homo sapiens			Serum									Sample collection	X_11
X_12.raw	Homo sapiens			Serum									Sample collection	X_12
X_13.raw	Homo sapiens			Serum									Sample collection	X_13
X_14.raw	Homo sapiens			Serum									Sample collection	X_14
X_15.raw	Homo sapiens			Serum									Sample collection	X_15
X_16.raw	Homo sapiens			Serum									Sample collection	X_16
X_17.raw	Homo sapiens			Serum									Sample collection	X_17
X_18.raw	Homo sapiens			Serum									Sample collection	X_18
X_19.raw	Homo sapiens			Serum									Sample collection	X_19
X_20.raw	Homo sapiens			Serum									Sample collection	X_20
X_21.raw	Homo sapiens			Serum									Sample collection	X_21
X_22.raw	Homo sapiens			Serum									Sample collection	X_22
X_23.raw	Homo sapiens			Serum									Sample collection	X_23
X_24.raw	Homo sapiens			Serum									Sample collection	X_24
X_25.raw	Homo sapiens			Serum									Sample collection	X_25
X_26.raw	Homo sapiens			Serum									Sample collection	X_26
X_27.raw	Homo sapiens			Serum									Sample collection	X_27
X_28.raw	Homo sapiens			Serum									Sample collection	X_28
X_29.raw	Homo sapiens			Serum									Sample collection	X_29
X_30.raw	Homo sapiens			Serum									Sample collection	X_30
X_31.raw	Homo sapiens			Serum									Sample collection	X_31
X_32.raw	Homo sapiens			Serum									Sample collection	QC01
X_33.raw	Homo sapiens			Serum									Sample collection	QC02
X_34.raw	Homo sapiens			Serum									Sample collection	QC03
X_35.raw	Homo sapiens			Serum									Sample collection	QC04
X_36.raw	Homo sapiens			Serum									Sample collection	QC05
